iter	Passed	Remaining
1190	8001	5434
1191	8011	5430
1192	8016	5422
1193	8029	5420
1194	8044	5418
1195	8096	5442
1196	8123	5449
1197	8128	5441
1198	8139	5437
1199	8142	5428
1200	8156	5426
1201	8162	5418
1202	8169	5412
1203	8173	5403
1204	8181	5397
1205	8184	5388
1206	8190	5380
1207	8195	5372
1208	8197	5363
1209	8201	5354
1210	8205	5346
1211	8217	5342
1212	8222	5334
1213	8226	5326
1214	8230	5317
1215	8236	5310
1216	8241	5302
1217	8250	5296
1218	8260	5292
1219	8266	5285
1220	8269	5276
1221	8273	5267
1222	8277	5258
1223	8280	5249
1224	8282	5239
1225	8285	5230
1226	8291	5223
1227	8297	5216
1228	8302	5208
1229	8304	5198
1230	8306	5189
1231	8317	5185
1232	8320	5175
1233	8322	5166
1234	8325	5156
1235	8329	5148
1236	8334	5140
1237	8345	5136
1238	8347	5127
1239	8349	5117
1240	8352	5108
1241	8355	5099
1242	8361	5091
1243	8363	5082
1244	8366	5073
1245	8373	5066
1246	8378	5059
1247	8381	5050
1248	8387	5042
1249	8389	5033
1250	8391	5024
1251	8394	5015
1252	8397	5006
1253	8402	4998
1254	8406	4990
1255	8408	4980
1256	8412	4972
1257	8417	4964
1258	8423	4957
1259	8428	4949
1260	8430	4940
1261	8433	4931
1262	8436	4922
1263	8439	4914
1264	8444	4906
1265	8448	4898
1266	8451	4889
1267	8455	4881
1268	8465	4876
1269	8469	4868
1270	8473	4860
1271	8475	4850
1272	8478	4841
1273	8480	4832
1274	8482	4823
1275	8488	4816
1276	8491	4807
1277	8493	4798
1278	8496	4789
1279	8506	4784
1280	8509	4775
1281	8512	4767
1282	8516	4759
1283	8518	4750
1284	8521	4741
1285	8523	4732
1286	8526	4723
1287	8532	4716
1288	8534	4707
1289	8537	4698
1290	8542	4691
1291	8546	4683
1292	8549	4674
1293	8551	4665
1294	8556	4658
1295	8558	4649
1296	8560	4640
1297	8563	4631
1298	8565	4622
1299	8569	4614
1300	8573	4606
1301	8576	4597
1302	8583	4591
1303	8585	4582
1304	8588	4573
1305	8591	4565
1306	8595	4557
1307	8597	4548
1308	8599	4539
1309	8601	4530
1310	8605	4522
1311	8610	4515
1312	8619	4510
1313	8624	4502
1314	8626	4493
1315	8628	4484
1316	8631	4476
1317	8635	4468
1318	8638	4459
1319	8640	4451
1320	8642	4442
1321	8644	4433
1322	8649	4425
1323	8653	4418
1324	8659	4411
1325	8662	4403
1326	8668	4396
1327	8670	4387
1328	8672	4378
1329	8678	4371
1330	8680	4363
1331	8683	4354
1332	8685	4345
1333	8689	4338
1334	8694	4331
1335	8698	4323
1336	8703	4316
1337	8708	4308
1338	8710	4300
1339	8714	4292
1340	8723	4287
1341	8726	4278
1342	8729	4270
1343	8733	4262
1344	8738	4255
1345	8743	4248
1346	8748	4241
1347	8750	4232
1348	8752	4223
1349	8755	4215
1350	8760	4208
1351	8763	4200
1352	8765	4191
1353	8768	4183
1354	8772	4176
1355	8781	4170
1356	8783	4162
1357	8787	4154
1358	8791	4146
1359	8793	4138
1360	8795	4129
1361	8797	4121
1362	8800	4113
1363	8805	4105
1364	8807	4097
1365	8810	4089
1366	8813	4081
1367	8818	4074
1368	8828	4069
1369	8833	4062
1370	8836	4053
1371	8839	4046
1372	8843	4038
1373	8847	4030
1374	8849	4022
1375	8853	4014
1376	8861	4009
1377	8864	4001
1378	8867	3993
1379	8872	3986
1380	8875	3978
1381	8877	3969
1382	8880	3961
1383	8883	3953
1384	8887	3946
1385	8889	3938
1386	8892	3929
1387	8898	3923
1388	8903	3916
1389	8906	3908
1390	8911	3901
1391	8914	3893
1392	8916	3885
1393	8919	3877
1394	8923	3870
1395	8929	3863
1396	8931	3855
1397	8935	3847
1398	8941	3841
1399	8944	3833
1400	8947	3825
1401	8953	3818
1402	8955	3810
1403	8957	3802
1404	8960	3794
1405	8963	3786
1406	8969	3780
1407	8972	3772
1408	8979	3766
1409	8984	3759
1410	8987	3751
1411	8990	3744
1412	8996	3737
1413	8998	3729
1414	9001	3721
1415	9003	3713
1416	9006	3705
1417	9010	3698
1418	9013	3690
1419	9016	3682
1420	9024	3676
1421	9028	3669
1422	9031	3662
1423	9037	3655
1424	9040	3648
1425	9043	3640
1426	9047	3633
1427	9053	3626
1428	9056	3618
1429	9063	3612
1430	9068	3605
1431	9071	3598
1432	9074	3590
1433	9079	3583
1434	9082	3575
1435	9084	3567
1436	9086	3559
1437	9090	3552
1438	9096	3546
1439	9099	3538
1440	9105	3532
1441	9111	3525
1442	9113	3517
1443	9115	3510
1444	9119	3502
1445	9124	3495
1446	9126	3487
1447	9129	3480
1448	9132	3472
1449	9138	3466
1450	9141	3458
1451	9147	3452
1452	9152	3445
1453	9155	3437
1454	9157	3430
1455	9160	3422
1456	9163	3415
1457	9167	3408
1458	9170	3400
1459	9172	3392
1460	9175	3385
1461	9180	3378
1462	9184	3371
1463	9191	3365
1464	9195	3358
1465	9198	3350
1466	9201	3342
1467	9204	3335
1468	9209	3328
1469	9211	3321
1470	9214	3313
1471	9217	3306
1472	9223	3299
1473	9226	3292
1474	9232	3286
1475	9238	3279
1476	9240	3272
1477	9243	3264
1478	9245	3256
1479	9251	3250
1480	9254	3243
1481	9256	3235
1482	9260	3228
1483	9263	3221
1484	9271	3215
1485	9274	3208
1486	9279	3201
1487	9282	3193
1488	9284	3186
1489	9287	3178
1490	9290	3171
1491	9295	3164
1492	9298	3157
1493	9304	3151
1494	9310	3144
1495	9312	3137
1496	9315	3129
1497	9321	3123
1498	9323	3116
1499	9326	3108
1500	9330	3101
1501	9334	3095
1502	9338	3087
1503	9345	3081
1504	9352	3075
1505	9355	3068
1506	9357	3061
1507	9361	3054
1508	9364	3047
1509	9367	3039
1510	9370	3032
1511	9374	3025
1512	9379	3019
1513	9383	3012
1514	9388	3005
1515	9392	2998
1516	9394	2991
1517	9398	2984
1518	9403	2977
1519	9406	2970
1520	9409	2963
1521	9413	2956
1522	9419	2950
1523	9422	2943
1524	9429	2937
1525	9432	2929
1526	9435	2922
1527	9438	2915
1528	9443	2908
1529	9445	2901
1530	9448	2894
1531	9450	2887
1532	9454	2880
1533	9460	2873
1534	9464	2867
1535	9471	2861
1536	9477	2854
1537	9480	2847
1538	9485	2841
1539	9488	2834
1540	9490	2826
1541	9493	2819
1542	9497	2813
1543	9503	2806
1544	9510	2800
1545	9515	2794
1546	9517	2787
1547	9520	2779
1548	9522	2772
1549	9527	2766
1550	9530	2758
1551	9532	2751
1552	9535	2744
1553	9538	2737
1554	9545	2731
1555	9549	2724
1556	9556	2719
1557	9563	2713
1558	9566	2706
1559	9573	2700
1560	9576	2693
1561	9578	2686
1562	9581	2678
1563	9589	2673
1564	9593	2666
1565	9601	2660
1566	9608	2655
1567	9610	2647
1568	9615	2641
1569	9619	2634
1570	9621	2627
1571	9624	2620
1572	9628	2613
1573	9633	2607
1574	9641	2601
1575	9648	2595
1576	9658	2590
1577	9662	2583
1578	9665	2576
1579	9669	2570
1580	9675	2564
1581	9679	2557
1582	9684	2551
1583	9687	2544
1584	9691	2537
1585	9698	2531
1586	9703	2525
1587	9709	2519
1588	9717	2513
1589	9723	2507
1590	9728	2500
1591	9730	2493
1592	9734	2487
1593	9739	2480
1594	9743	2474
1595	9746	2467
1596	9752	2460
1597	9761	2455
1598	9764	2448
1599	9771	2442
1600	9773	2435
1601	9776	2428
1602	9781	2422
1603	9789	2416
1604	9795	2410
1605	9801	2404
1606	9805	2398
1607	9811	2391
1608	9814	2384
1609	9817	2378
1610	9821	2371
1611	9828	2365
1612	9836	2360
1613	9843	2354
1614	9846	2347
1615	9850	2340
1616	9856	2334
1617	9858	2327
1618	9861	2320
1619	9864	2313
1620	9872	2308
1621	9876	2301
1622	9883	2295
1623	9889	2289
1624	9892	2282
1625	9900	2277
1626	9902	2270
1627	9905	2263
1628	9907	2256
1629	9916	2250
1630	9919	2244
1631	9926	2238
1632	9932	2232
1633	9935	2225
1634	9938	2218
1635	9944	2212
1636	9947	2205
1637	9949	2198
1638	9952	2192
1639	9958	2186
1640	9961	2179
1641	9963	2172
1642	9966	2165
1643	9972	2159
1644	9974	2152
1645	9977	2145
1646	9980	2139
1647	9984	2132
1648	9987	2125
1649	9990	2119
1650	9992	2112
1651	10029	2112
1652	10042	2108
1653	10045	2101
1654	10048	2094
1655	10051	2087
1656	10059	2082
1657	10068	2076
1658	10072	2070
1659	10075	2063
1660	10081	2057
1661	10084	2050
1662	10087	2044
1663	10090	2037
1664	10097	2031
1665	10100	2024
1666	10103	2018
1667	10106	2011
1668	10112	2005
1669	10116	1998
1670	10118	1992
